b'id',b'key',b'value',b'type'
b'65423479',b'highway',b'turning_circle',b'regular'
b'65423488',b'highway',b'turning_circle',b'regular'
b'65423939',b'highway',b'turning_circle',b'regular'
b'65425016',b'highway',b'turning_circle',b'regular'
b'65425050',b'highway',b'traffic_signals',b'regular'
b'65426399',b'highway',b'turning_circle',b'regular'
b'65426400',b'highway',b'priority',b'regular'
b'65427084',b'highway',b'stop',b'regular'
b'65427084',b'stop',b'all',b'regular'
b'65427113',b'highway',b'priority',b'regular'
b'65427115',b'highway',b'stop',b'regular'
b'65427115',b'stop',b'all',b'regular'
b'65427119',b'highway',b'priority',b'regular'
b'65427554',b'highway',b'traffic_signals',b'regular'
b'65428019',b'highway',b'stop',b'regular'
b'65428019',b'stop',b'all',b'regular'
b'65428603',b'highway',b'turning_circle',b'regular'
b'65428891',b'highway',b'traffic_signals',b'regular'
b'65428962',b'highway',b'turning_circle',b'regular'
b'65429305',b'highway',b'stop',b'regular'
b'65429305',b'stop',b'all',b'regular'
b'65429309',b'highway',b'stop',b'regular'
b'65429309',b'stop',b'all',b'regular'
b'65430687',b'highway',b'priority',b'regular'
b'65430689',b'highway',b'priority',b'regular'
b'65430704',b'lane:both',b'parallel',b'parking'
b'65431175',b'crossing',b'uncontrolled',b'regular'
b'65431175',b'highway',b'crossing',b'regular'
b'65431175',b'kerb',b'lowered',b'regular'
b'65431178',b'highway',b'stop',b'regular'
b'65431178',b'stop',b'all',b'regular'
b'65431917',b'highway',b'stop',b'regular'
b'65431917',b'stop',b'all',b'regular'
b'65431934',b'highway',b'priority',b'regular'
b'65434092',b'highway',b'stop',b'regular'
b'65434112',b'highway',b'priority',b'regular'
b'65434114',b'highway',b'turning_circle',b'regular'
b'65434115',b'highway',b'priority',b'regular'
b'65434120',b'highway',b'priority',b'regular'
b'65434178',b'highway',b'stop',b'regular'
b'65434178',b'stop',b'all',b'regular'
b'65434180',b'highway',b'priority',b'regular'
b'65434181',b'highway',b'priority',b'regular'
b'65434365',b'highway',b'turning_circle',b'regular'
b'65434429',b'highway',b'turning_circle',b'regular'
b'65435128',b'highway',b'stop',b'regular'
b'65435128',b'stop',b'all',b'regular'
b'65435132',b'highway',b'stop',b'regular'
b'65435132',b'stop',b'all',b'regular'
b'65435640',b'highway',b'turning_circle',b'regular'
b'65436528',b'highway',b'turning_circle',b'regular'
b'65437021',b'highway',b'turning_circle',b'regular'
b'65437112',b'highway',b'turning_circle',b'regular'
b'65440891',b'highway',b'stop',b'regular'
b'65440891',b'stop',b'all',b'regular'
b'65440953',b'highway',b'turning_circle',b'regular'
b'65441047',b'highway',b'stop',b'regular'
b'65441047',b'stop',b'all',b'regular'
b'65441052',b'highway',b'stop',b'regular'
b'65441052',b'stop',b'all',b'regular'
b'65441185',b'highway',b'turning_circle',b'regular'
b'65441325',b'highway',b'stop',b'regular'
b'65441325',b'stop',b'all',b'regular'
b'65441443',b'highway',b'priority',b'regular'
b'65441444',b'highway',b'priority',b'regular'
b'65441446',b'highway',b'traffic_signals',b'regular'
b'65441451',b'highway',b'traffic_signals',b'regular'
b'65441453',b'highway',b'traffic_signals',b'regular'
b'65441458',b'highway',b'priority',b'regular'
b'65441458',b'lane:both',b'parallel',b'parking'
b'65441459',b'direction',b'both',b'regular'
b'65441459',b'highway',b'stop',b'regular'
b'65441467',b'highway',b'priority',b'regular'
b'65441470',b'highway',b'priority',b'regular'
b'65441472',b'highway',b'priority',b'regular'
b'65441475',b'highway',b'traffic_signals',b'regular'
b'65441478',b'highway',b'priority',b'regular'
b'65441480',b'highway',b'priority',b'regular'
b'65441481',b'highway',b'priority',b'regular'
b'65441483',b'highway',b'priority',b'regular'
b'65441485',b'highway',b'priority',b'regular'
b'65441489',b'highway',b'priority',b'regular'
b'65441491',b'highway',b'priority',b'regular'
b'65441511',b'highway',b'priority',b'regular'
b'65441517',b'highway',b'priority',b'regular'
b'65441521',b'highway',b'priority',b'regular'
b'65441524',b'highway',b'traffic_signals',b'regular'
b'65441526',b'highway',b'traffic_signals',b'regular'
b'65441527',b'highway',b'priority',b'regular'
b'65441576',b'highway',b'stop',b'regular'
b'65441576',b'stop',b'all',b'regular'
b'65441962',b'highway',b'turning_circle',b'regular'
b'65444856',b'highway',b'turning_circle',b'regular'
b'65444865',b'noexit',b'yes',b'regular'
b'65444868',b'highway',b'stop',b'regular'
b'65444868',b'stop',b'all',b'regular'
b'65444876',b'highway',b'priority',b'regular'
